uid,用户名,性别,等级,粉丝牌,大会员,认证,关注数,粉丝数,获赞数,播放数,阅读数,总投稿数,最多投稿分区,十万粉丝
10413744,ADC芒果,保密,6,,无,bilibili 知名时尚UP主,80,432173,12904472,1911819,0,245,游戏,十万粉以上
10426019,Tasuku兰翼,男,6,雷滅卿,年度大会员,,93,113,1920,141076,457,18,游戏,以下
10462362,天天卡牌,男,6,,年度大会员,bilibili 2019百大UP主、知名游戏UP主,164,2330227,956911679,18142353,14767599,1021,游戏,十万粉以上
10500463,导演BK,男,6,,年度大会员,bilibili 知名UP主,253,280819,35924216,1502640,484786,337,游戏,十万粉以上
10592068,RemediosShio,保密,6,白鸡熊,年度大会员,,169,67718,519299,9052113,0,59,游戏,以下
10860122,落夜与夜猫,保密,5,西岚,无,,197,22,54,0,0,0,,以下
10880609,咿籽芥末大尾巴狼itsu,女,6,,大会员,bilibili 直播高能主播,260,38708,82907,396425,884,36,动画,以下
11022049,求生之路佐手,保密,6,小褲衩,年度大会员,,124,16712,64095,2936206,0,543,游戏,以下
11153642,一只蠢鸠,保密,6,Shiori,无,,90,23,25,0,0,0,,以下
12347423,PlayNintendo,保密,6,,年度大会员,,89,80262,232918,15017220,21046,919,游戏,以下
12434430,LinusTechTips,男,6,,无,,5,900158,179940706,3770939,0,2036,科技,十万粉以上
13131014,YamadaMaki,保密,5,厚望,无,,188,2574,998,27895,0,17,游戏,以下
13195234,狐狸君的假面,保密,6,蘑菇♥,无,bilibili 知名动漫UP主,28,214651,49284281,1011899,171446,145,动画,十万粉以上
13763303,月见兔,男,6,乔夫人,大会员,bilibili 直播高能主播,1174,438235,723881,7013027,5761,69,动物圈,十万粉以上
13968709,花見_Hanami,女,6,秋月原,年度大会员,,79,93789,110163,1370122,0,5,生活,以下
14392124,Evelinas,保密,6,男女男,年度大会员,bilibili 知名游戏UP主,20,172498,5783724,129151091,28628,1337,游戏,十万粉以上
14553873,影之诗调戏专员,女,6,菲娜,年度大会员,影之诗手游官方账号,85,111838,616786,8869718,2459102,370,游戏,十万粉以上
14804670,无穷小亮的科普日常,保密,6,,年度大会员,科普作家张辰亮,46,5516247,23054679,371710576,188261,169,知识,十万粉以上
16000369,月月月月影sama,保密,6,猫耳,无,,118,28127,62600,784421,659,33,生活,以下
16048207,Dr_MoMo,保密,6,刺儿,年度大会员,,211,20,7,29,0,1,生活,以下
16338978,这个诺瓦露不太冷,男,5,花土土,年度大会员,,128,131,86,0,0,0,,以下
16693558,VirgooTeam,保密,6,喂狗,年度大会员,bilibili 知名游戏UP主,19,248496,527282,23407436,14733,427,游戏,十万粉以上
16794231,靠脸吃饭的徐大王,男,6,靠脸,年度大会员,bilibili 2020百大UP主、 知名游戏UP主,150,3791667,835249552,30211110,0,1212,游戏,十万粉以上
17561219,直播小喇叭,女,6,,无,直播小喇叭,629,2154607,10934274,1346832,1310434,298,游戏,十万粉以上
17819768,电影最TOP,男,6,,无,bilibili 2020百大UP主、知名影视UP主,26,3915053,12783326,358447944,24105239,370,影视,十万粉以上
18006785,灏啊,男,6,,年度大会员,,122,8073,21916,1048190,0,107,游戏,以下
18706318,龙女之声,男,6,小叮当,年度大会员,bilibili 知名科普UP主,164,1276756,100242700,8202216,66441,79,知识,十万粉以上
20165629,共青团中央,保密,6,,年度大会员,共青团中央 官方账号,100,8867227,177779006,1742023080,17053555,3440,资讯,十万粉以上
20259914,稚晖君,男,6,,年度大会员,bilibili 知名科技UP主,182,1119255,2172975,21566927,73827,50,知识,十万粉以上
20646254,暴走吧bilibili,保密,5,,无,,4,674678,2257274,5037,0,23,娱乐,十万粉以上
20710609,空想雅,男,6,,年度大会员,,131,43,39,9263,0,10,动画,以下
20990353,游戏动力VGN,保密,6,,年度大会员,bilibili 2018百大UP主,98,1363474,270311045,5409903,3569085,1197,游戏,十万粉以上
